Отметка времени,Ваш возраст,"Слышали ли вы о препарате ""глицин""?","От кого вы узнали о препарате ""глицин""?",Принимали ли вы когда-либо глицин?,С какой целью вы принимали глицин? (Можно выбрать несколько вариантов),Как долго вы принимали глицин?,Назначал ли вам глицин врач?,Ощущали ли вы эффект от приема глицина?,Считаете ли вы глицин полезным препаратом?,"Оцените эффективность глицина по вашему мнению от 1 до 5 (1 – “бесполезен”, 5 – “очень эффективен”)",Рекомендовали бы вы глицин другим?,"Какое у вас отношение к ноотропам?

*Ноотроп - препарат для улучшения деятельности центральной нервной системы"
14.02.2025 21:03:49,21-23,Да,Семья,Да,Снижение стресса и тревожности,Однократно,Рекомендовали знакомые/интернет,"Да, положительный",Да,4,Да,"Считаю, что некоторые работают, если правильно подобраны"
14.02.2025 22:03:07,21-23,Да,Друзья и знакомые,Да,"Снижение стресса и тревожности, Улучшение концентрации и памяти",Несколько дней (до 1 недели),"Нет, принимал(а) самостоятельно","Нет, эффекта не было",Нет,1,Нет,"Считаю, что некоторые работают, если правильно подобраны"
14.02.2025 22:03:09,21-23,Да,Семья,Да,"Снижение стресса и тревожности, Улучшение концентрации и памяти",Несколько недель (до 1 месяца),Рекомендовали знакомые/интернет,"Да, положительный",Да,4,Да,"Верю, что большинство из них эффективны и полезны"
14.02.2025 22:03:31,21-23,Да,Семья,Да,Улучшение концентрации и памяти,Однократно,"Нет, принимал(а) самостоятельно","Нет, эффекта не было",Нет,4,Нет,"Считаю, что некоторые работают, если правильно подобраны"
14.02.2025 22:05:34,18-20,Да,Семья,Да,"Снижение стресса и тревожности, Улучшение концентрации и памяти",Более месяца,"Нет, принимал(а) самостоятельно","Да, положительный",Да,4,Да,"Верю, что большинство из них эффективны и полезны"
14.02.2025 22:08:18,18-20,Да,Друзья и знакомые,Нет,,,,,Нет,1,Нет,"Верю, что большинство из них эффективны и полезны"
14.02.2025 22:10:55,21-23,Да,Врач,Да,"Улучшение сна, Снижение стресса и тревожности",Несколько недель (до 1 месяца),Да,"Да, положительный",Нет,2,Нет,"Считаю, что некоторые работают, если правильно подобраны"
14.02.2025 22:15:19,21-23,Да,Семья,Да,Снижение стресса и тревожности,Несколько недель (до 1 месяца),Рекомендовали знакомые/интернет,"Да, положительный",Да,4,Да,"Считаю, что некоторые работают, если правильно подобраны"
14.02.2025 22:17:11,21-23,Да,Врач,Да,"Улучшение сна, Снижение стресса и тревожности, Улучшение концентрации и памяти",Более месяца,Да,"Да, положительный",Да,4,Да,"Считаю, что некоторые работают, если правильно подобраны"
14.02.2025 22:21:19,21-23,Да,Другое,Нет,,,,,Нет,1,Нет,"Считаю, что некоторые работают, если правильно подобраны"
14.02.2025 22:24:04,18-20,Да,Друзья и знакомые,Нет,,,,,Да,2,Нет,"Считаю, что некоторые работают, если правильно подобраны"
